# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=1 effective_threads=1 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=0 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,wide,32,512,128,0,0,0,64,256,256,16384,2,1367344
1,wide,32,512,128,0,0,1,32,256,256,16384,2,1372041
1,wide,32,512,128,0,0,3,64,256,64,16384,3,1374956
1,wide,32,512,128,0,0,4,64,256,256,0,3,1448025
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,3,4151046
1,wide,32,512,128,0,0,6,32,64,128,16384,3,1367645
1,wide,32,512,128,0,0,0,64,256,256,16384,3,1365992
1,wide,32,512,128,0,0,1,32,256,256,16384,3,1373653
1,wide,32,512,128,0,0,2,64,64,256,16384,3,1370178
1,wide,32,512,128,0,0,4,64,256,256,0,4,1388116
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,4,4154681
1,wide,32,512,128,0,0,6,32,64,128,16384,4,1368876
1,wide,32,512,128,0,0,0,64,256,256,16384,4,1370178
1,wide,32,512,128,0,0,1,32,256,256,16384,4,1365732
1,wide,32,512,128,0,0,2,64,64,256,16384,4,1363478
1,wide,32,512,128,0,0,3,64,256,64,16384,4,1369187
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,5,4151276
1,wide,32,512,128,0,0,6,32,64,128,16384,5,1368296
1,wide,32,512,128,0,0,0,64,256,256,16384,5,1364229
1,wide,32,512,128,0,0,1,32,256,256,16384,5,1372983
1,wide,32,512,128,0,0,2,64,64,256,16384,5,1366042
1,wide,32,512,128,0,0,3,64,256,64,16384,5,1368055
1,wide,32,512,128,0,0,4,64,256,256,0,5,1440343
1,wide,32,512,128,0,0,6,32,64,128,16384,6,1438370
1,wide,32,512,128,0,0,0,64,256,256,16384,6,1449127
1,wide,32,512,128,0,0,1,32,256,256,16384,6,1438261
1,wide,32,512,128,0,0,2,64,64,256,16384,6,1443037
1,wide,32,512,128,0,0,3,64,256,64,16384,6,1359543
1,wide,32,512,128,0,0,4,64,256,256,0,6,1445060
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,6,4151867
1,tall,256,64,128,0,0,0,64,256,256,16384,0,1561143
1,tall,256,64,128,0,0,1,32,256,256,16384,0,1572381
1,tall,256,64,128,0,0,2,64,64,256,16384,0,1564369
1,tall,256,64,128,0,0,3,64,256,64,16384,0,1496598
1,tall,256,64,128,0,0,4,64,256,256,0,0,1241055
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,0,1532070
1,tall,256,64,128,0,0,6,32,64,128,16384,0,1556777
1,tall,256,64,128,0,0,1,32,256,256,16384,1,1554323
1,tall,256,64,128,0,0,2,64,64,256,16384,1,1564088
1,tall,256,64,128,0,0,3,64,256,64,16384,1,1499641
1,tall,256,64,128,0,0,4,64,256,256,0,1,1240334
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,1,1531139
1,tall,256,64,128,0,0,6,32,64,128,16384,1,1558740
1,tall,256,64,128,0,0,0,64,256,256,16384,1,1552692
1,tall,256,64,128,0,0,2,64,64,256,16384,2,1562946
1,tall,256,64,128,0,0,3,64,256,64,16384,2,1497118
1,tall,256,64,128,0,0,4,64,256,256,0,2,1235517
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,2,1563457
1,tall,256,64,128,0,0,6,32,64,128,16384,2,1560543
1,tall,256,64,128,0,0,0,64,256,256,16384,2,1612680
1,tall,256,64,128,0,0,1,32,256,256,16384,2,1545941
1,tall,256,64,128,0,0,3,64,256,64,16384,3,1494735
1,tall,256,64,128,0,0,4,64,256,256,0,3,1248897
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,3,1538891
1,tall,256,64,128,0,0,6,32,64,128,16384,3,1574624
1,tall,256,64,128,0,0,0,64,256,256,16384,3,1555595
1,tall,256,64,128,0,0,1,32,256,256,16384,3,1575275
1,tall,256,64,128,0,0,2,64,64,256,16384,3,1585951
1,tall,256,64,128,0,0,4,64,256,256,0,4,1244901
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,4,1552301
1,tall,256,64,128,0,0,6,32,64,128,16384,4,1572170
1,tall,256,64,128,0,0,0,64,256,256,16384,4,1555164
1,tall,256,64,128,0,0,1,32,256,256,16384,4,1574403
1,tall,256,64,128,0,0,2,64,64,256,16384,4,1555896
1,tall,256,64,128,0,0,3,64,256,64,16384,4,1502807
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,5,1571128
1,tall,256,64,128,0,0,6,32,64,128,16384,5,1561504
1,tall,256,64,128,0,0,0,64,256,256,16384,5,1575165
1,tall,256,64,128,0,0,1,32,256,256,16384,5,1554343
1,tall,256,64,128,0,0,2,64,64,256,16384,5,1565740
1,tall,256,64,128,0,0,3,64,256,64,16384,5,1506863
1,tall,256,64,128,0,0,4,64,256,256,0,5,1232642
1,tall,256,64,128,0,0,6,32,64,128,16384,6,1561714
1,tall,256,64,128,0,0,0,64,256,256,16384,6,1576376
1,tall,256,64,128,0,0,1,32,256,256,16384,6,1546522
1,tall,256,64,128,0,0,2,64,64,256,16384,6,1569596
1,tall,256,64,128,0,0,3,64,256,64,16384,6,1495024
1,tall,256,64,128,0,0,4,64,256,256,0,6,1235767
1,tall,256,64,128,0,0,5,64,256,256,9223372036854775807,6,1579031
1,tails,65,129,67,0,0,0,64,256,256,16384,0,364936
1,tails,65,129,67,0,0,1,32,256,256,16384,0,388761
1,tails,65,129,67,0,0,2,64,64,256,16384,0,364565
1,tails,65,129,67,0,0,3,64,256,64,16384,0,373208
1,tails,65,129,67,0,0,4,64,256,256,0,0,322493
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,0,365015
1,tails,65,129,67,0,0,6,32,64,128,16384,0,372908
1,tails,65,129,67,0,0,1,32,256,256,16384,1,365136
1,tails,65,129,67,0,0,2,64,64,256,16384,1,364505
1,tails,65,129,67,0,0,3,64,256,64,16384,1,379697
1,tails,65,129,67,0,0,4,64,256,256,0,1,315823
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,1,364916
1,tails,65,129,67,0,0,6,32,64,128,16384,1,389892
1,tails,65,129,67,0,0,0,64,256,256,16384,1,367159
1,tails,65,129,67,0,0,2,64,64,256,16384,2,364424
1,tails,65,129,67,0,0,3,64,256,64,16384,2,380989
1,tails,65,129,67,0,0,4,64,256,256,0,2,315822
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,2,372386
1,tails,65,129,67,0,0,6,32,64,128,16384,2,369432
1,tails,65,129,67,0,0,0,64,256,256,16384,2,364686
1,tails,65,129,67,0,0,1,32,256,256,16384,2,371115
1,tails,65,129,67,0,0,3,64,256,64,16384,3,373458
1,tails,65,129,67,0,0,4,64,256,256,0,3,315572
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,3,388030
1,tails,65,129,67,0,0,6,32,64,128,16384,3,364886
1,tails,65,129,67,0,0,0,64,256,256,16384,3,364615
1,tails,65,129,67,0,0,1,32,256,256,16384,3,371726
1,tails,65,129,67,0,0,2,64,64,256,16384,3,364685
1,tails,65,129,67,0,0,4,64,256,256,0,4,315732
1,tails,65,129,67,0,0,5,64,256,256,9223372036854775807,4,373298
